reference_num,name,lat,lon,diameter,confidence,elevation,rho,dn_inside,dn_outside,dn_difference,continous_ejecta_rad,flow_length,dark_halo_diameter,ejecta_completeness,rim_completeness,planform,morphologic_class,central_structure_diameter,wall_terracing,wall_width,multiple_crater,floor_reflectivity,parabolic_feature,impactor_direction,multi_asteroid_grp_num,terrain,interior_flat_floor,exterior_embayment,tectionically_deformed,degradation_state,comments,wall_terracing_detail,multicrater_detail,planform_detail,morph_class_detail,floor_reflectivity_detail,parabolic_detail,terrain_detail,interior_floor_detail,exterior_embayment_detail,techtonically_deformed_detail,degradation_state_detail
926,Aigul,38.166,280.544,5.3,2,6052.93,3.18,0,0,0,0.0,0.0,0,0.1,0.7,i,0,0.0,null,0.0,s,i,n,null,0,t,y,y,y,3,null,null,single crater,irregular,flat floor,intermediate,no,tessera and mountain belts,yes,yes,yes,highly degraded
927,Batten,15.2,217.311,62.2,1,6052.27,2.23,136,129,7,52.9,85.8,0,0.6,0.8,c,5,40.7,null,0.0,s,i,n,null,0,ri,y,y,y,3,null,null,single crater,circular,peak rings,intermediate,no,rift,yes,yes,yes,highly degraded
928,de Ayala,12.371,31.93,17.9,1,6051.39,2.86,141,118,23,16.7,0.0,0,1.0,0.9,c,3,4.9,t,3.3,s,b,n,null,0,r,y,n,y,2,null,terraced,single crater,circular,central peak,bright,no,ridge belt,yes,no,yes,no ejecta
929,Hsueh T'ao,-52.585,13.791,27.2,2,6051.79,1.59,95,91,4,9.1,0.0,0,0.3,0.6,c,3,6.2,null,0.0,s,i,n,null,0,ri,null,y,y,3,null,null,single crater,circular,central peak,intermediate,no,rift,null,yes,yes,highly degraded
93,Akhmatova,61.37,307.936,41.7,1,6051.62,2.55,94,99,-5,40.0,0.0,0,1.0,1.0,c,4,17.5,t,6.2,s,d,n,null,0,t,y,n,y,1,null,terraced,single crater,circular,several peaks,dark,no,tessera and mountain belts,yes,no,yes,pristine with ejecta
930,Iondra,10.499,286.557,8.8,1,6051.66,2.86,0,0,0,15.0,0.0,0,0.9,1.0,i,3,2.6,u,1.2,s,d,n,se,0,p,y,n,n,1,null,unterraced,single crater,irregular,central peak,dark,no,plains,yes,no,no,pristine with ejecta
931,Marysya,53.306,75.075,6.9,1,6051.39,1.91,0,0,0,9.7,0.0,0,0.4,1.0,i,2,0.0,null,0.0,f,i,n,sw,0,p,null,y,y,2,null,null,crater field,irregular,knobby base,intermediate,no,plains,null,yes,yes,no ejecta
932,Oma,-42.708,329.109,7.4,1,6052.42,1.59,0,0,0,5.3,0.0,0,0.8,1.0,i,2,0.0,u,0.0,s,i,n,null,0,p,n,n,y,1,null,unterraced,single crater,irregular,knobby base,intermediate,no,plains,no,no,yes,pristine with ejecta
933,Raisa,27.492,280.318,13.3,1,6054.87,2.55,0,0,0,0.0,0.0,0,0.0,0.7,c,0,0.0,null,0.0,s,i,n,null,0,v,null,y,y,3,null,null,single crater,circular,flat floor,intermediate,no,volcano,null,yes,yes,highly degraded
934,Tamara,61.634,317.322,11.1,1,6053.94,3.18,0,0,0,5.8,0.0,0,0.3,0.7,c,0,0.0,null,0.0,s,i,n,null,0,c,null,y,y,3,null,null,single crater,circular,flat floor,intermediate,no,coronae,null,yes,yes,highly degraded
935,crater_at_39.2N_53.2E,39.151,53.179,3.6,2,6051.58,2.86,0,0,0,4.9,0.0,0,0.8,1.0,c,2,0.0,u,0.0,s,b,n,null,0,v,n,n,n,1,may be volcanic, right on volcano,unterraced,single crater,circular,knobby base,bright,no,volcano,no,no,no,pristine with ejecta
936,crater_at_8.5N_132.4E,8.539,132.376,4.3,1,6051.6,2.55,0,0,0,3.2,0.0,0,0.6,1.0,i,2,0.0,u,0.0,s,b,n,se,0,p,n,n,y,2,null,unterraced,single crater,irregular,knobby base,bright,no,plains,no,no,yes,no ejecta
937,crater_at_13.1S_19.5E,-13.065,19.497,1.5,2,6051.37,2.23,0,0,0,1.4,0.0,0,1.0,1.0,c,1,0.0,u,0.0,s,b,n,null,0,p,n,n,y,2,null,unterraced,single crater,circular,bowl,bright,no,plains,no,no,yes,no ejecta
938,Ellen,-22.8,281.3,14.6,1,6052.1,1.59,0,0,0,0.0,0.0,0,0.0,0.0,null,0,0.0,null,0.0,null,null,n,null,0,p,null,null,null,1,only sliver of rim and a little ejecta visible in mosaiced data,null,null,null,null,null,no,plains,null,null,null,pristine with ejecta
939,Nanichi,-44.8,337.8,22.0,1,6050.81,2.23,0,0,0,13.0,0.0,0,1.0,1.0,c,3,8.0,null,0.0,s,b,n,null,0,p,n,n,n,1,only covered by Arecibo data,null,single crater,circular,central peak,bright,no,plains,no,no,no,pristine with ejecta
94,Agnesi,-39.43,37.747,41.4,1,6051.76,0.95,111,110,1,30.4,0.0,150,0.9,1.0,c,4,16.3,t,6.5,s,d,n,e,0,p,y,n,n,1,null,terraced,single crater,circular,several peaks,dark,no,plains,yes,no,no,pristine with ejecta
